,User,Pesan,Jam,Tanggal
90,Hendro Masori,"Membalas : Tadi pakde bahas ttg passion, sy jd tertarik pengen tau awal mula pak @hmasori menemukan passion di stock market bagaimana? Krn
2015 saya sudah selangkah lagi menyerah. Support istri yg membuat saya bertahan.

Hanya waktu itu yg saya tau sistem trading selama ini ada yg salah. Selama ini gak diperbaiki ya pasti hasilnya sama aja.

Perubahan terbesar yg saya lakukan adalah mindset. Sebelumnya pas buy yg dipikirin bisa cuan berapa. Bukan bisa loss berapa.

Yg paling penting waktu itu menurut saya adalah keyakinan bahwa saya pasti bisa karena saya tau saya punya passion, saya mau melakukan extra effort demi trading yg lebih baik.
Membalas : Saya rasa karena TT ini dirawat. Pakdhenya masih sering masuk dalam diskusi, adminnya Pak Carik @luckv02 rajin ngekick dan delet
Jozzzz Om Benhan",12:34:02 AM,Saturday March 27 2021
91,Dwi Purnomo Setyo Budi,Masih ada yg ronda,12:30:51 AM,Saturday March 27 2021
92,hery,saya rajin makan ikan :fish:,12:30:15 AM,Saturday March 27 2021
93,ericko L,"Membalas : welcome bu susilawati yang melegenda :tada:
awas ditenggelamkan pak carik",12:24:52 AM,Saturday March 27 2021
94,Rolando,"boleh
",11:56:27 PM,Friday March 26 2021
95,Muhammag kuncoro,"Membalas : Apa ada recordingnya ya yg td? Pas td g bs join sayang bgt.
Maaf bu lupa saha rekam nya tadi lain kali mungkin ya.",11:54:51 PM,Friday March 26 2021
96,Nanang Eko,Wahh TT abis break 17.000 lngsung ngacir:joy:,11:44:54 PM,Friday March 26 2021
97,Helen Felicia Susilo,"Apa ada recordingnya ya yg td? Pas td g bs join sayang bgt.
",10:47:01 PM,Friday March 26 2021
98,Eko Bawono,"Membalas : Photo
Seeeeph",10:46:08 PM,Friday March 26 2021
99,Helen Felicia Susilo,Wah ketinggalan td g bs join voice chat nya,10:45:34 PM,Friday March 26 2021
100,Kaanz✓,"Share juga, kalo dilihat masih dalam trend konsolidasi bearish, pada saat retest di 510 mau break tetapi volume justru malah turun dari sebelumnya, pertanda sinyal reversal, sampai sekarang belum ada tanda"" mau naik diiringi dengan volume yang terus turun, walaupun saham nya naik, naiknya pun tidak signifikan dikarenakan transaksi nya terus menurun, mungkin bisa masih akan turun lagi di area 400 bagi yang sabar menunggu:grin:, correct bila salah

Disclaimer on
Gambar : blob:https://web.telegram.org/5b4adbf1-f805-4377-8657-f4c583c41b4c
",10:42:21 PM,Friday March 26 2021
101,Fajar Oktavaria,"Membalas : Semoga minggu depan confirm pak
masalahnya saya kurang tau apakah tail/shadownya boleh panjang kebawah atau tidak *saya belum terlalu paham SSP :joy::joy:",10:42:14 PM,Friday March 26 2021
102,Yugo Ginanjar,"Membalas : yang saya tunggu sebenarnya sekarang pola SSP (jika minggu depan melanjutkan kenaikan dan berhasil close >300), namun saya belum
Semoga minggu depan confirm pak",10:40:53 PM,Friday March 26 2021
103,Nanang Eko,"Membalas : apa karena pake telegram x yah
Hrus di updte dlu pak:sweat_smile:",10:39:42 PM,Friday March 26 2021
104,Andrian,"Membalas : mungkin telegram bapak belum update *cmiiw :pray:
apa karena pake telegram x yah",10:37:51 PM,Friday March 26 2021
105,Fajar Oktavaria,"Membalas : kenapa yg voice di telegram saya unsupported message yah
mungkin telegram bapak belum update *cmiiw :pray:",10:37:21 PM,Friday March 26 2021
106,Andrian,kenapa yg voice di telegram saya unsupported message yah,10:36:48 PM,Friday March 26 2021
107,Fajar Oktavaria,"Membalas : CENT nya dipantau bu Saya liat bagus tunggu konfirm Koreksi kalau salah
yang saya tunggu sebenarnya sekarang pola SSP (jika minggu depan melanjutkan kenaikan dan berhasil close >300), namun saya belum begitu paham apakah boleh tail/shadownya panjang kebawah ? karna kalo saya tonton video ssp pakde, saya baru nangkep tidak boleh membuat higher high *mohon masukannya
",10:35:37 PM,Friday March 26 2021
108,Kaanz✓,"Membalas : Gemes nya diganti dg yg ginian sj ya:pray:
Baik tidak"" pak guru share"" chart buat diskusi lebih enak juga kan sambil praktek:+1::grin:",10:35:01 PM,Friday March 26 2021
109,Eko Bawono,"Membalas : Pak guru belum ada kah gemes episode 3, kapan nih dibikin?:grin: Eko Bawono
Gemes nya diganti dg yg ginian sj ya:pray:",10:31:01 PM,Friday March 26 2021
110,Fajar Oktavaria,"Membalas : Kl trnyata dibawa turun, akan beda lg titik belinya
setuju pak guru, selalu siapkan lebih dari 1 trading plan :+1:🏻:+1:🏻",10:29:51 PM,Friday March 26 2021
111,Rui :rocket:🛩:speedboat::dancer:🏽,"Membalas : CENT nya dipantau bu Saya liat bagus tunggu konfirm Koreksi kalau salah
CENT kebetulan kemarin sudah masuk kak begitu dia ngebentuk mjolnir hijau dengan volume bagus, thank you remindernya :pray:🏽

Eko Bawono Aminnn pak, kalau itu sampai terwujud :pray:🏽:pray:🏽:pray:🏽 cup nya cantik banget soalnya :heart_eyes:",10:29:11 PM,Friday March 26 2021
112,Eko Bawono,"Kl trnyata dibawa turun, akan beda lg titik belinya",10:28:36 PM,Friday March 26 2021
113,Rick Andre,"Membalas : Photo
Note pak.. trima kasih..",10:28:32 PM,Friday March 26 2021
114,Kaanz✓,"Membalas : Photo
Menuju ATH pak guru:joy:",10:28:25 PM,Friday March 26 2021
115,Eko Bawono,"Kl sy mau beli same, buy jk tutup di atas angka2 di atas. Kl lancar, sapa tau akan :point_down:
Gambar : blob:https://web.telegram.org/72ef98a9-53a5-4401-a18b-623708bf5201
Gambar : blob:https://web.telegram.org/0eec378e-6634-43d6-a85c-8f9f68ec0987",10:26:57 PM,Friday March 26 2021
116,Yugo Ginanjar,"Membalas : Photo
CENT nya dipantau bu 

Saya liat bagus tunggu konfirm
Koreksi kalau salah",10:26:16 PM,Friday March 26 2021
117,Rui :rocket:🛩:speedboat::dancer:🏽,"Membalas : Setia nunggu di bwh ya bu
Maklum emak2 pak, maunya nawar terus 🤣🤣:pray:🏽

Terimakasih insightnya ya

Fajar Oktavaria oh iyaaaa, sampe lupa :joy::joy: .... ayo weekend duluuu",10:26:14 PM,Friday March 26 2021
118,Eko Bawono,"Membalas : Kl diliat dr history gris hitam sblmnya ad potensi break keatas pak.. dlm weakly lbh cantik candle nya..
Trima ksh pak",10:25:59 PM,Friday March 26 2021
119,Fajar Oktavaria,"Membalas : Photo
besok atau lusa halt kak rui libur lanjut senin :see_no_evil::runner:♂",10:25:17 PM,Friday March 26 2021
120,Rui :rocket:🛩:speedboat::dancer:🏽,"Ijin berbagi analisa juga, hari ini SAME menunjukkan buyer kembali memasuki arena namun tertahan dibawah fibo 0.5 atau area sell signal dari Pak Guru Eko
Apakah besok akan berlanjut kenaikannya, atau akan kembali turun untuk mendekati MA20nya, karena selama ini MA20 selalu dicolek dulu sebelum ngegas :grin:

Saya akan menunggu di area MA20 tersebut
Gambar : blob:https://web.telegram.org/dbeaeba3-5614-401a-9b68-94bd231a75f0",10:23:59 PM,Friday March 26 2021
121,Eko Bawono,"Membalas : Photo
Setia nunggu di bwh ya bu",10:23:22 PM,Friday March 26 2021
122,Rick Andre,"Membalas : Photo
Kl diliat dr history gris hitam sblmnya ad potensi break keatas pak.. dlm weakly lbh cantik candle nya..",10:23:19 PM,Friday March 26 2021
123,Aliong,"Membalas : Candle ketiga hammer, jd sptnya bukan 3 gagak hitam:pray:
Ok well noted pak guru and kak rui",10:21:31 PM,Friday March 26 2021
124,Eko Bawono,Trima ksh opininya,10:18:44 PM,Friday March 26 2021
125,Rui :rocket:🛩:speedboat::dancer:🏽,"Kalau boleh komen, ini bukan 3 black crows kak ... 3 black crows itu kalau openingnya selalu di tengah body sebelumnya lalu harga ditekan ke bawah lagi, 3 kali berturut2

SAME sudaha ada hammer 2 hari lalu, dan hari ini terdorong keatas tapi volume lebih kecil dari 2 hari lalu

Kalau saya pribadi akan menunggu di kisaran 416 - 420 lagi :smile:
Gambar : blob:https://web.telegram.org/252ff6ea-2921-475a-ac9c-4a9b9f02a1d1",10:18:00 PM,Friday March 26 2021
126,Eko Bawono,"Membalas : Photo
Candle ketiga hammer, jd sptnya bukan 3 gagak hitam:pray:",10:18:00 PM,Friday March 26 2021
127,suparjo suparjo,"
",10:07:38 PM,Friday March 26 2021
128,Kaanz✓,"Pak guru belum ada kah gemes episode 3, kapan nih dibikin?:grin::pray: Eko Bawono",10:02:05 PM,Friday March 26 2021
129,Aliong,"3 gagak yg ini pak guru, tapi ya td kan candle yg skrg lg test necknya kalo memang mingdep break neck dgn volume baru reversal, kira2 begitukah?
Gambar : blob:https://web.telegram.org/b8f7fc3f-f9e9-422f-9eac-56a5ff68996e",10:02:05 PM,Friday March 26 2021
130,Fajar Oktavaria,"Membalas : Photo
jika lanjut naik dengan volume menurut saya >458, jika buy on weakness 416 *untuk perjalanan ke 500 harus melewati resistnya di 474 (by body)
",10:00:37 PM,Friday March 26 2021
131,Wafa,break 496 jg bisa pak:joy:,10:00:34 PM,Friday March 26 2021
132,Eko Bawono,"Membalas : diatas candle doji
Trima ksh pak Wafa
Membalas : Kalau saya, yakin akan retest ke garis support hijau dulu. Klo berhasil bertahan di atas support, mungkin saya cicil beli, klo d
Trima ksh pak Aditya
Ga ada jawaban salah.",9:58:55 PM,Friday March 26 2021
133,Shimano Aditya,"Membalas : Photo
Kalau saya, yakin akan retest ke garis support hijau dulu. Klo berhasil bertahan di atas support, mungkin saya cicil beli, klo dia break garis hitam baru saya avg up",9:58:31 PM,Friday March 26 2021
134,Eko Bawono,"Membalas : Candle terakhir hammer tp ada tiga gagak item begitu takutnya false pak guru
Sik pak. 3 gagak item yg mana yo pak?",9:58:25 PM,Friday March 26 2021
135,Wafa,"Membalas : Photo
diatas candle doji",9:57:54 PM,Friday March 26 2021
136,Aliong,"Candle terakhir hammer tp ada tiga gagak item begitu takutnya false pak guru
",9:56:50 PM,Friday March 26 2021
137,Eko Bawono,Trima ksh pak Kaanz,9:56:25 PM,Friday March 26 2021
138,Kaanz✓,"Membalas : Photo
Kalo close diatas garis hitam pak guru, dengan catatan volume nya juga lebih besar mungkin:pray:",9:55:49 PM,Friday March 26 2021
139,Eko Bawono,"Membalas : Setelah confirm break 458 kah pk Guru ? :pray:
Trima ksh pak Bagus utk opininya.
Silakan sobat TT yg lain.",9:55:27 PM,Friday March 26 2021
140,Bagus Giant,"Membalas : Photo
Setelah confirm break 458 kah pk Guru ? :pray:",9:55:00 PM,Friday March 26 2021
141,Eko Bawono,"#SAME. Sy ga pnya, dan ga pnya intensi apa pun. Grs hitam mnrt sy sinyal jual by candle. Hebatnya GPL lgsung naik lg. Sinyal sell terbaru muncul Rabu. Kamis muncul hammer. When to buy?
Gambar : blob:https://web.telegram.org/25215d0e-2ccc-47ae-9aac-fcc4d60571a9
",9:53:24 PM,Friday March 26 2021
