,User,Pesan,Jam,Tanggal
50,Hendro Masori,"Saya setuju. Kadang kesalahan kita menganggap pemilik perusahaan jadi traders seperti kita.

Coba liat BDMN. MUFG akuisisi di harga 9500 an. Kalau pake patokan ini, sekarang di 3000 an murah banget dong. Beli di bawah pemilik perusahaan lho. Kenapa gak berani?

Karena MUFG bukan traders kek kita. :grin::grin::grin:",9:19:33 PM,"Monday, March 22, 2021"
51,Will,"Mirip temen saya, kena combo KAEF INAF IRRA BBKP ANTM",6:24:04 PM,"Monday, March 22, 2021"
52,Hauw,Ga ngerti catur sama sekali tapi ada yg blg blunder dewa kipas game 1 parah banget,4:53:53 PM,"Monday, March 22, 2021"
53,Hendro Masori,Nyerah di langkah berapa,4:36:31 PM,"Monday, March 22, 2021"
54,Hendro Masori,Maksud saya langkah ke berapa mati nya,4:36:14 PM,"Monday, March 22, 2021"
55,Hendro Masori,Jadi berapa langkah ronde 1 2 dan 3?,4:32:23 PM,"Monday, March 22, 2021"
56,Jepri Ardiansyah,Kabarnya hadiah 100 juta pak dadang besok akan dibelikan saham WIKA :joy::joy:,4:23:47 PM,"Monday, March 22, 2021"
57,Odilia 이정은,Ketinggalan doid ama indy cm pegang ptba sama adro,3:53:49 PM,"Monday, March 22, 2021"
58,Bagus Giant,Indy doid kenceng bu,3:52:22 PM,"Monday, March 22, 2021"
59,JSugiarto,Pak Dadang kalahpun dapat BBCA 30 lot euy :sunglasses:,3:28:14 PM,"Monday, March 22, 2021"
