,User,Pesan,Jam,Tanggal
113,Billy,"Saya kok liat chart bursa regional dan US vibe2 nya ga enak ya.. Mengingatkan sideways akhir 2019 ke awal maret 2020 :joy: semoga salah deh..

Tp kaya abis aja gtu power nya.. Harus reset dlu biar nanti narasi apapun bisa gerakin market... Klo sekarang berita positif apapun ga begitu signifikan efek nya",2:39:07 PM,"Tuesday, March 23, 2021"
114,Kaanz✓,"Hahahaha tutup porto aja lah:joy:, buka awal April biar ijo @RuiAuxilia",2:38:57 PM,"Tuesday, March 23, 2021"
115,Rui,"kalau turun dalam ya saya tjidoek bawah lagi kak :heart::heart::smile:

Ayo duo SAME dan CENT, kita joget menyamping 3 minggu duluuu ... SAME SAME NA HEY HEY HAKA HAKA HEY HEYYY :dancer:🏽:dancer:🏽:dancer:🏽",2:34:47 PM,"Tuesday, March 23, 2021"
116,Wawan,BBKP wassalam :see_no_evil:,2:34:46 PM,"Tuesday, March 23, 2021"
117,Jafar Sim,"Ya pak, berarti kalau saya tidak berubah maka saya tidak akan menjadi trader sukses",2:32:28 PM,"Tuesday, March 23, 2021"
118,Aho Lie,Mudah2 an gak terutama cent krn pesta blm mulai tenda blm dipsg:pray::pray:,2:30:36 PM,"Tuesday, March 23, 2021"
119,Davis We.,Rata2 breakdown support 🤣,2:30:30 PM,"Tuesday, March 23, 2021"
120,Puspita Wardani,SAME dijagain masih sangat aman,2:30:23 PM,"Tuesday, March 23, 2021"
121,erison koleman,"same,cent turun dikit-dikit lamaan bisa dalam juga",2:29:44 PM,"Tuesday, March 23, 2021"
122,Wibowo Soedjono,SAME nya kuat ya 🤭,2:27:29 PM,"Tuesday, March 23, 2021"
123,Dwi Prastowo,Uniq,2:20:37 PM,"Tuesday, March 23, 2021"
124,Benanta,"Bank kecil party? 

Bbyb
Babp",2:18:56 PM,"Tuesday, March 23, 2021"
125,A. Furkon A.,Bvic bangkit,2:16:57 PM,"Tuesday, March 23, 2021"
126,Raditbima,Lot jumbo Semesta indovest masuk BGTG?:grin:,2:14:39 PM,"Tuesday, March 23, 2021"
127,Erich,in bbca we trusts? :see_no_evil::see_no_evil:,2:13:58 PM,"Tuesday, March 23, 2021"
128,Jafar Sim,"Lebih baik sruput kopi aja pak :grin: tadi saya ikutan test ternyata saya tipe supportive trader, ya udalah saya entry karena pola htf ya belajar disiplin aja deh, karena walaupun dmmx 420 masih on track",2:12:38 PM,"Tuesday, March 23, 2021"
129,Benanta,Mtps,2:12:15 PM,"Tuesday, March 23, 2021"
130,"Apt, Yulianto Wijaya S Farm, RTA (FRED)","Waspada IHSG....support 6261. breakdown ke 6174...Dan angka 6174 ini jika di breakdown, turunnya agak dalam di 5971-5990",2:04:32 PM,"Tuesday, March 23, 2021"
131,Septio Hanifa,Bnga offer nya tipis tapi mrosot:sweat_smile:,1:57:39 PM,"Tuesday, March 23, 2021"
132,Jafar Sim,"Yaaa takut FOMO tutup aja ah tradingnya, takutnya ga kuat liat ihsg dibawa ke 6277 dan dmmx nya dihajar di 420 :joy: takut khilaf",1:55:00 PM,"Tuesday, March 23, 2021"
133,Reny,Thn ini SSMS bagi dividen..utk besarannya menunggu RUPS krn laba mereka di 2020 mencapai 400M,1:54:33 PM,"Tuesday, March 23, 2021"
